county,lat,lon
Alameda,37.7799,-122.2822
Alpine,32.8351,-116.7664
Amador,38.3489,-120.7741
Butte,39.6254,-121.537
Calaveras,38.196,-120.6805
Colusa,39.2143,-122.0094
Contra Costa,37.8534,-121.9018
Del Norte,41.7076,-123.966
El Dorado,38.7426,-120.4358
Fresno,36.7378,-119.7871
Glenn,39.5218,-122.0139
Humboldt,40.745,-123.8695
Imperial,32.8476,-115.5694
Inyo,36.3092,-117.5496
Kern,35.4937,-118.8597
Kings,36.0988,-119.8815
Lake,33.6469,-117.6861
Lassen,40.5394,-120.712
Los Angeles,34.0522,-118.2437
Madera,36.9613,-120.0607
Marin,38.0834,-122.7633
Mariposa,37.4849,-119.9663
Mendocino,39.3077,-123.7995
Merced,37.3022,-120.483
Modoc,41.4565,-120.6294
Mono,37.9219,-118.8529
Monterey,36.6002,-121.8947
Napa,38.2975,-122.2869
Nevada,39.1347,-121.171
Orange,33.7879,-117.8531
Placer,39.0916,-120.8039
Plumas,39.9927,-120.8039
Riverside,33.9806,-117.3755
Sacramento,38.5816,-121.4944
San Benito,36.5761,-120.9876
San Bernardino,34.1083,-117.2898
San Diego,32.7157,-117.1611
San Francisco,37.7749,-122.4194
San Joaquin,36.6066,-120.189
San Luis Obispo,35.2828,-120.6594
San Mateo,37.563,-122.3555
Santa Barbara,34.4208,-119.6982
Santa Clara,37.3541,-121.9552
Santa Cruz,36.9741,-122.0308
Shasta,41.3099,-122.3106
Sierra,39.5533,-120.2513
Siskiyou,41.7743,-122.577
Solano,38.3105,-121.9018
Sonoma,38.2919,-122.458
Stanislaus,37.5091,-120.9876
Sutter,39.1599,-121.7527
Tehama,40.0271,-122.1233
Trinity,40.6329,-123.0623
Tulare,36.2077,-119.3473
Tuolumne,37.9627,-120.2413
Ventura,34.2805,-119.2945
Yolo,38.733,-121.8073
Yuba,39.1404,-121.6169
